ID;FO;tempo;x
1;2262;201.507000;1
2;1618;140.255000;1
3;2611;220.736000;1
4;1511;164.068000;1
5;2873;135.611000;1
6;3174;140.583000;1
7;2882;137.744000;1
8;999;139.226000;1
9;981;227.375000;1
10;1227;228.401000;1
11;2381;147.509000;1
12;950;213.934000;1
13;2633;185.121000;1
14;2394;133.353000;1
15;2233;149.595000;1
16;2372;144.740000;1
17;1480;226.507000;1
18;3302;148.847000;1
19;2671;139.922000;1
20;580;148.256000;1
21;2403;152.845000;1
22;4229;228.245000;1
23;1134;130.304000;1
24;2209;152.632000;1
25;6134;164.132000;1
26;1483;150.185000;1
27;1217;143.220000;1
28;2641;153.061000;1
29;1393;144.425000;1
30;5321;200.938000;1
31;8484;205.556000;1
32;5804;206.898000;1
33;5914;205.130000;1
34;9723;124.283000;1
35;11056;133.427000;1
36;10295;195.240000;1
37;7008;199.946000;1
38;7353;207.518000;1
39;6117;203.681000;1
40;11435;211.750000;1
41;10947;145.128000;1
42;9875;150.506000;1
43;7388;234.824000;1
44;7819;160.201000;1
45;7649;129.325000;1
46;9492;209.238000;1
47;13787;148.792000;1
48;9114;145.831000;1
49;8960;217.535000;1
50;9470;145.791000;1
51;15235;206.276000;1
52;15918;131.901000;1
53;9881;196.462000;1
54;10298;190.322000;1
55;7731;146.749000;1
56;7575;144.155000;1
57;11299;206.818000;1
58;15216;202.231000;1
59;11099;166.473000;1
60;8202;133.024000;1
61;2403;135.578000;1
62;1874;147.581000;1
63;3104;139.053000;1
64;2089;208.577000;1
65;3211;139.610000;1
66;6184;212.118000;1
67;3782;197.379000;1
68;7737;205.133000;1
69;1053;183.568000;1
70;2262;205.227000;1
71;6565;212.608000;1
72;3496;139.997000;1
73;4740;136.342000;1
74;1444;214.074000;1
75;3241;132.892000;1
76;172;231.296000;1
77;5046;211.428000;1
78;3104;205.497000;1
79;5988;141.878000;1
80;5181;202.131000;1
81;2395;155.053000;1
82;5579;166.178000;1
83;10311;204.953000;1
84;8066;145.457000;1
85;3402;217.183000;1
86;2218;128.971000;1
87;5708;130.140000;1
88;6040;196.438000;1
89;6053;212.093000;1
90;7587;148.443000;1
91;10602;188.144000;1
92;9097;146.209000;1
93;9113;216.989000;1
94;14896;128.150000;1
95;7661;160.083000;1
96;12284;147.668000;1
97;1779;146.510000;1
98;11619;150.895000;1
99;8386;163.188000;1
100;15603;126.936000;1
101;12494;154.097000;1
102;12230;136.035000;1
103;7432;156.017000;1
104;11503;152.855000;1
105;14964;225.409000;1
106;10144;148.470000;1
107;6480;164.557000;1
108;16503;143.796000;1
109;7832;185.812000;1
110;9675;139.249000;1
111;18631;140.107000;1
112;16646;142.906000;1
113;16980;134.052000;1
114;12833;145.986000;1
115;17024;203.066000;1
116;10136;155.595000;1
117;15761;197.490000;1
118;16113;125.970000;1
119;18914;197.322000;1
120;12505;152.010000;1
121;485;231.761000;1
122;850;207.013000;1
123;1224;235.984000;1
124;973;240.561000;1
125;3340;217.901000;1
126;1090;238.814000;1
127;1211;246.498000;1
128;0;1.590000;1
129;1396;231.902000;1
130;1392;211.798000;1
131;4391;252.844000;1
132;1978;306.754000;1
133;1410;265.654000;1
134;1038;270.406000;1
135;2710;214.858000;1
136;1592;235.168000;1
137;2312;210.707000;1
138;149;235.309000;1
139;1447;243.597000;1
140;4159;230.393000;1
141;3029;251.132000;1
142;2260;225.039000;1
143;2071;309.116000;1
144;3087;226.376000;1
145;1476;200.770000;1
146;1678;228.751000;1
147;2956;238.995000;1
148;1702;225.602000;1
149;3071;244.270000;1
150;2398;236.991000;1
151;9402;227.706000;1
152;11647;226.803000;1
153;7864;230.817000;1
154;8369;266.802000;1
