ID	jobs	opt_TT	time	status	LB
20567	10	0	362,467	Optimum found	0
20568	10	512	3599,65	Unfinished	411
20569	10	883	3599,94	Unfinished	741
20570	10	879	3600,02	Unfinished	442
20571	10	716	3600,6	Unfinished	289
20572	10	1399	3600,05	Unfinished	850
20573	10	1094	3599,77	Unfinished	741
20574	10	597	3599,92	Unfinished	436
20575	10	1152	3599,65	Unfinished	1079
20576	10	852	3599,93	Unfinished	645
