jobs,instance_count,time,instance_sol_d0,instance_min_0,gap_0_mean,time_d0,instance_sol_d1,instance_min_1,gap_1_mean,time_d1
4,144,0.12,118,,2.54,0.00,139,,0.85,0.00
6,144,9.98,97,,3.41,0.00,129,,0.42,0.02
8,127,773.10,81,6.00,3.47,0.01,116,7.00,1.05,0.09
10,69,2364.15,57,65.00,3.49,0.03,67,68.00,1.71,0.20
