instance,alpha,jobs,stages,solution_d0,solution_d0,last_improvment_time_d0,solution_d0,solution_d1,solution_d1,last_improvment_time_d1,solution_d1,MIN,gap_d0,gap_d1
,,,,mean,min,mean,cv,mean,min,mean,cv,,,
1001,0.1,30,5,3196.13046,3194.6233,6.409360000000001,0.06895413984902063,3203.5087200000003,3194.8146,6.1155,0.3258160501800926,3194.6233,0.0,0.005988186463172531
1011,0.1,30,5,4421.60636,4407.2471,7.26482,0.28634706558359013,4430.57128,4409.819,5.5061,0.440746113969161,4407.2471,0.0,0.058356156159268306
1021,0.1,30,5,3626.5263399999994,3608.0677,5.958,0.5043776224254797,3661.5287,3645.5596,5.82872,0.72432783256952,3608.0677,0.0,1.0391129856016834
1031,0.1,30,5,10324.86302,10322.857,7.65596,0.01588245407162018,10322.69112,10314.9572,6.535419999999999,0.045968945114447025,10314.9572,0.07658587279450109,0.0
1041,0.1,30,5,13135.6243,13134.4754,6.35822,0.006107631324571122,13126.48192,13099.7847,7.63256,0.13281731725611018,13099.7847,0.26481885614501127,0.0
1051,0.1,30,5,19760.33966,19756.4697,6.2194199999999995,0.01101052262971318,19759.20916,19757.8642,5.92974,0.004189965949806926,19756.4697,0.0,0.0070584472892872945
1061,0.1,30,5,3112.76378,3106.1707,7.323980000000001,0.2715151098812628,3107.63382,3099.7022,6.3111999999999995,0.16435374329893282,3099.7022,0.2086813371942617,0.0
1071,0.1,30,5,7171.24482,7171.1916,5.3754,0.0016594544008708696,7162.46228,7161.8006,5.5219,0.010416865877766008,7161.8006,0.13112624219111227,0.0
1081,0.1,30,5,3025.10168,3014.3018,6.6498800000000005,0.2521664687288949,2978.49168,2972.4201,5.70316,0.2916069045006476,2972.4201,1.4090101193973343,0.0
1091,0.1,30,5,12728.53522,12728.3889,5.3729,0.0013731001263214042,12727.15624,12726.558,5.96084,0.004216595137533625,12726.558,0.014386450759105636,0.0
1101,0.1,30,5,14820.384039999999,14815.3699,4.62026,0.03712271196091229,14815.19044,14799.3121,7.335459999999999,0.08154734722569845,14799.3121,0.10850369187092486,0.0
1111,0.1,30,5,20477.439300000002,20464.7711,6.61042,0.04935018631523739,20388.108079999998,20382.6758,5.10458,0.016200022803006576,20382.6758,0.40276998371333,0.0
1121,0.1,30,5,600.7783,597.3947,4.85316,0.6277617011531611,557.89696,547.1902,5.745559999999999,2.046973711427878,547.1902,9.174963294298752,0.0
1131,0.1,30,5,5224.86532,5217.6957,3.5688199999999997,0.10852795908108216,5224.647440000001,5199.3653,3.5551000000000004,0.5286988880238537,5199.3653,0.3525507238354617,0.0
1141,0.1,30,5,4042.8748399999995,4035.4942,5.9164,0.12302757302805929,4026.1193200000002,4017.2177,5.53088,0.1852135017793093,4017.2177,0.45495418383723496,0.0
1151,0.1,30,5,10687.14714,10683.9857,3.96716,0.037584430867668835,10685.62308,10680.7818,5.405620000000001,0.05404674615608816,10680.7818,0.029996867832264972,0.0
