instance,LBTT0,min_wait,LBTT
3901,0,0,0
3911,451,13,464
3921,4290,138,4428
3931,4229,252,4481
3941,2719,0,2719
3951,1116,6,1122
3961,11682,340,12022
3971,32996,2450,35446
3981,28103,3186,31289
3991,29041,692,29733
4001,0,0,0
4011,114,0,114
4021,734,0,734
4031,5482,68,5550
4041,5673,401,6074
4051,9607,443,10050
4061,3179,21,3200
4071,3991,89,4080
4081,3630,56,3686
4091,36575,1794,38369
4101,32507,277,32784
4111,48061,1567,49628
4121,0,0,0
4131,0,0,0
4141,0,0,0
4151,3327,76,3403
4161,9571,511,10082
4171,9382,512,9894
4181,2210,21,2231
4191,8785,193,8978
4201,4820,34,4854
4211,27696,582,28278
4221,29022,624,29646
4231,21744,1040,22784
4241,0,0,0
4251,0,0,0
4261,213,0,213
4271,507,0,507
4281,5883,171,6054
4291,9770,181,9951
4301,4662,72,4734
4311,8172,128,8300
4321,8210,435,8645
4331,23740,152,23892
4341,34277,1141,35418
4351,46094,2584,48678
4361,40,0,40
4371,5239,40,5279
4381,943,6,949
4391,9398,348,9746
4401,28888,1410,30298
4411,58265,2701,60966
4421,7007,65,7072
4431,15990,585,16575
4441,32516,740,33256
4451,48381,1053,49434
4461,56577,2814,59391
4471,77258,2834,80092
4481,50,0,50
4491,3336,55,3391
4501,5304,15,5319
4511,17356,1347,18703
4521,31866,450,32316
4531,37955,398,38353
4541,8022,39,8061
4551,12076,207,12283
4561,22420,555,22975
4571,45472,1259,46731
4581,56740,2083,58823
4591,79871,5232,85103
4601,1004,0,1004
4611,4490,88,4578
4621,4588,82,4670
4631,12675,446,13121
4641,31549,1371,32920
4651,42972,4053,47025
4661,10342,344,10686
4671,12737,428,13165
4681,24505,643,25148
4691,39496,1274,40770
4701,60290,815,61105
4711,61293,1349,62642
4721,0,0,0
4731,235,0,235
4741,9427,168,9595
4751,14557,570,15127
4761,36098,1537,37635
4771,42490,3703,46193
4781,5507,88,5595
4791,25036,720,25756
4801,27109,811,27920
4811,43415,1247,44662
4821,65258,3881,69139
4831,62221,2663,64884
4841,11458,31,11489
4851,23845,71,23916
4861,17137,68,17205
4871,66296,557,66853
4881,99823,1560,101383
4891,130503,2215,132718
4901,39825,356,40181
4911,108707,1725,110432
4921,112453,940,113393
4931,126078,1879,127957
4941,150027,2256,152283
4951,217016,3576,220592
4961,18469,76,18545
4971,16284,45,16329
4981,25787,300,26087
4991,70370,2125,72495
5001,123721,4116,127837
5011,152762,4080,156842
5021,53873,526,54399
5031,58046,507,58553
5041,80604,537,81141
5051,105015,1653,106668
5061,177844,2783,180627
5071,168327,2650,170977
5081,4487,4,4491
5091,30089,237,30326
5101,33088,141,33229
5111,59526,1809,61335
5121,102472,3758,106230
5131,92037,3073,95110
5141,51980,461,52441
5151,60330,875,61205
5161,92566,251,92817
5171,162503,491,162994
5181,253177,1850,255027
5191,154950,726,155676
5201,8228,23,8251
5211,18792,169,18961
5221,24385,120,24505
5231,62390,610,63000
5241,84978,1608,86586
5251,93776,2069,95845
5261,51699,600,52299
5271,61926,637,62563
5281,83438,1427,84865
5291,100810,1508,102318
5301,142662,2670,145332
5311,185971,3475,189446
