20189	0.40	664.549570	94.085819	0.000000	664.549570	70751	664.549570
20190	0.40	1008.689637	44.022590	0.000000	1008.689637	35885	1008.689637
20191	0.40	600.404187	12.938019	0.000000	600.404187	7126	600.404187
20192	0.40	245.721919	49.661312	0.000000	245.721919	20917	245.721919
20193	0.40	71.924454	11.747917	0.000000	71.924454	3346	71.924454
20001	0.50	196.859904	0.142503	0.000000	196.859904	339	196.859904
20002	0.50	94.242641	0.035557	0.000000	94.242641	7	94.242641
20003	0.50	174.600072	0.226715	0.000000	174.600072	1005	174.600072
20004	0.50	0.000000	0.071917	0.000000	0.000000	100	0.000000
20005	0.50	5.497475	0.038249	0.000000	5.497475	10	5.497475
