ID;FO;tempo;x
1;2262;421.044000;1
2;1618;313.225000;1
3;2611;427.621000;1
4;1491;397.506000;1
5;2873;335.214000;1
6;3151;348.063000;1
7;2882;355.127000;1
8;999;335.868000;1
9;981;360.769000;1
10;1222;363.211000;1
11;2381;328.756000;1
12;895;362.947000;1
13;2633;330.685000;1
14;2394;346.161000;1
15;2233;349.418000;1
16;2372;355.665000;1
17;1480;350.972000;1
18;3283;360.776000;1
19;2671;349.827000;1
20;543;354.813000;1
21;2403;356.225000;1
22;4229;355.202000;1
23;1134;344.761000;1
24;2209;350.367000;1
25;6134;322.559000;1
26;1463;341.490000;1
27;1217;345.905000;1
28;2641;347.342000;1
29;1393;367.110000;1
30;5321;355.921000;1
31;8484;336.073000;1
32;5804;348.302000;1
33;5914;328.668000;1
34;9723;332.984000;1
35;11056;320.306000;1
36;10295;337.571000;1
37;7008;340.646000;1
38;7353;347.386000;1
39;6117;329.636000;1
40;11426;342.105000;1
41;10947;349.413000;1
42;9875;337.867000;1
43;7373;350.004000;1
44;7816;344.422000;1
45;7649;351.980000;1
46;9492;340.773000;1
47;13787;335.722000;1
48;9114;326.936000;1
49;8960;346.361000;1
50;9466;334.519000;1
51;15235;307.738000;1
52;15918;336.847000;1
53;9879;339.330000;1
54;10296;337.979000;1
55;7700;356.712000;1
56;7539;352.643000;1
57;11299;322.970000;1
58;15207;345.252000;1
59;11091;382.435000;1
60;8202;358.542000;1
61;2403;529.924000;1
62;1871;374.580000;1
63;3104;488.661000;1
64;2078;348.510000;1
65;3211;355.425000;1
66;6184;339.861000;1
67;3782;304.532000;1
68;7737;318.526000;1
69;1053;271.172000;1
70;2262;313.539000;1
71;6565;303.949000;1
72;3496;314.186000;1
73;4740;329.552000;1
74;1444;324.181000;1
75;3241;328.683000;1
76;172;314.524000;1
77;5046;308.296000;1
78;3104;340.955000;1
79;5988;314.125000;1
80;5150;326.357000;1
81;2395;333.652000;1
82;5579;323.626000;1
83;10311;300.351000;1
84;8066;317.137000;1
85;3402;326.072000;1
86;2216;316.728000;1
87;5708;281.119000;1
88;6040;315.800000;1
89;6053;316.275000;1
90;7587;297.405000;1
91;10602;322.653000;1
92;9097;314.708000;1
93;9113;322.830000;1
94;14896;281.354000;1
95;7661;335.272000;1
96;12284;321.584000;1
97;1779;370.105000;1
98;11619;323.335000;1
99;8384;327.982000;1
100;15603;298.526000;1
101;12489;323.483000;1
102;12230;318.198000;1
103;7432;339.045000;1
104;11503;437.386000;1
105;14964;351.531000;1
106;10144;334.763000;1
107;6472;367.716000;1
108;16503;339.771000;1
109;7832;331.182000;1
110;9675;344.989000;1
111;18631;302.731000;1
112;16636;343.354000;1
113;16980;315.505000;1
114;12833;346.886000;1
115;17024;311.677000;1
116;10135;336.622000;1
117;15761;344.847000;1
118;16113;329.653000;1
119;18914;329.406000;1
120;12494;354.723000;1
121;485;512.881000;1
122;850;501.925000;1
123;1191;527.015000;1
124;973;530.789000;1
125;3340;505.766000;1
126;1090;602.534000;1
127;1211;590.415000;1
128;0;1.153000;1
129;1396;547.716000;1
130;1340;508.160000;1
131;4391;550.161000;1
132;1978;490.918000;1
133;1410;555.181000;1
134;1010;483.202000;1
135;2710;506.151000;1
136;1592;529.830000;1
137;2312;492.042000;1
138;149;528.303000;1
139;1447;545.193000;1
140;4159;583.511000;1
141;3019;556.127000;1
142;2260;513.291000;1
143;2071;503.619000;1
144;3087;491.275000;1
145;1476;730.537000;1
146;1678;571.957000;1
147;2866;596.561000;1
148;1700;553.960000;1
149;3037;538.024000;1
150;2378;529.728000;1
151;9375;510.633000;1
152;11647;528.444000;1
153;7863;500.759000;1
154;8369;498.796000;1
155;7672;523.206000;1
156;5694;492.135000;1
157;7785;504.821000;1
158;5485;512.680000;1
159;9073;482.801000;1
160;4299;534.804000;1
161;11719;467.145000;1
162;7146;517.222000;1
163;18707;498.448000;1
164;3952;526.120000;1
165;10746;484.876000;1
166;9294;521.948000;1
167;14444;502.706000;1
168;6803;489.766000;1
169;12230;509.711000;1
170;7505;499.000000;1
171;10585;532.796000;1
172;9287;534.952000;1
173;10907;529.087000;1
174;8112;537.812000;1
175;6662;535.973000;1
176;12712;512.599000;1
177;10042;528.631000;1
178;12030;523.471000;1
179;7058;505.745000;1
180;14820;515.425000;1
181;1278;521.856000;1
182;5124;473.917000;1
183;201;504.537000;1
184;3493;446.203000;1
185;1258;495.812000;1
186;3761;551.923000;1
187;830;589.011000;1
188;1672;575.211000;1
189;2321;573.247000;1
190;127;518.996000;1
191;3590;523.735000;1
192;2259;568.549000;1
193;4729;588.496000;1
194;3037;562.570000;1
195;3484;527.035000;1
196;3369;503.543000;1
197;7401;523.996000;1
198;3805;521.064000;1
199;2451;523.615000;1
200;2782;536.820000;1
201;3591;540.133000;1
202;6815;525.872000;1
203;4999;509.839000;1
204;2229;503.553000;1
205;5990;504.178000;1
206;3365;522.375000;1
207;3658;498.071000;1
208;8964;532.256000;1
209;3380;510.834000;1
210;4224;522.720000;1
211;8727;494.663000;1
212;9035;508.304000;1
213;4496;516.455000;1
214;6548;519.092000;1
215;11927;518.815000;1
216;10316;519.250000;1
217;9141;535.641000;1
218;11141;512.129000;1
219;11600;514.808000;1
220;12944;525.790000;1
221;14177;506.205000;1
222;10851;516.081000;1
223;10588;484.032000;1
224;12872;518.073000;1
225;12973;525.815000;1
226;16777;525.966000;1
227;11519;535.470000;1
228;8387;513.868000;1
229;11054;520.829000;1
230;11627;511.760000;1
231;11983;530.697000;1
232;13035;538.756000;1
233;12506;524.135000;1
234;13797;474.694000;1
235;5777;534.063000;1
236;19864;511.548000;1
237;13140;479.258000;1
238;23442;497.575000;1
239;11729;480.700000;1
240;16414;513.387000;1
241;1244;533.811000;1
242;1446;545.168000;1
243;1231;546.833000;1
244;2060;547.485000;1
245;645;545.208000;1
246;1234;534.253000;1
247;2381;600.028000;1
248;251;573.516000;1
249;1622;601.731000;1
250;537;582.405000;1
251;5258;601.941000;1
252;1657;574.286000;1
253;2974;561.277000;1
254;2717;541.380000;1
255;2513;555.565000;1
256;1931;551.065000;1
257;1973;574.627000;1
258;1433;537.953000;1
259;2807;538.411000;1
260;3369;545.117000;1
261;3692;560.362000;1
262;2004;545.011000;1
263;2697;597.553000;1
264;2664;554.305000;1
265;2436;580.868000;1
266;1310;546.115000;1
267;2805;562.117000;1
268;740;563.931000;1
269;1135;535.844000;1
270;1647;537.282000;1
271;4687;534.879000;1
272;4492;554.741000;1
273;7159;531.372000;1
274;8122;544.861000;1
275;4066;543.913000;1
276;8689;552.620000;1
277;7283;551.117000;1
278;7585;551.154000;1
279;7043;542.902000;1
280;8794;548.040000;1
281;5981;571.043000;1
282;9800;576.390000;1
283;5899;587.702000;1
284;10265;589.805000;1
285;3435;560.733000;1
286;6506;585.304000;1
287;3144;567.198000;1
288;7645;575.244000;1
289;5103;554.823000;1
290;11319;591.517000;1
291;11701;588.687000;1
292;10601;585.147000;1
293;7003;599.354000;1
294;12453;582.684000;1
295;9188;574.790000;1
296;13843;568.555000;1
297;10760;587.318000;1
298;13639;582.663000;1
299;12983;552.379000;1
300;10108;572.862000;1
301;4186;550.332000;1
302;3104;537.881000;1
303;3668;545.686000;1
304;3964;537.848000;1
305;8519;539.588000;1
306;622;581.861000;1
307;5104;584.579000;1
308;1241;556.161000;1
309;4923;588.768000;1
310;2537;570.722000;1
311;4380;585.220000;1
312;4326;558.086000;1
313;10129;522.354000;1
314;4461;649.508000;1
315;4650;674.186000;1
316;2863;552.688000;1
317;5432;546.663000;1
318;4919;553.614000;1
319;2738;544.687000;1
320;7416;578.777000;1
321;4507;600.946000;1
322;4660;571.021000;1
323;4713;546.261000;1
324;7209;584.825000;1
325;2850;575.480000;1
326;8020;559.118000;1
327;4689;594.599000;1
328;3923;557.077000;1
