ID;FO;tempo;x
267;2870;57.365000;1
268;833;58.374000;1
269;1206;55.826000;1
270;1674;55.276000;1
271;4687;55.374000;1
272;4492;56.762000;1
273;7270;55.045000;1
274;8122;55.847000;1
275;4066;54.741000;1
276;8689;54.035000;1
277;7283;55.863000;1
278;7606;56.183000;1
279;7056;56.335000;1
280;8794;57.430000;1
281;6042;58.969000;1
282;9818;59.394000;1
283;6010;59.953000;1
284;10330;59.031000;1
285;3479;58.219000;1
286;6566;58.805000;1
287;3144;56.609000;1
288;7688;57.385000;1
289;5116;56.430000;1
290;11335;59.959000;1
291;11746;61.006000;1
292;10601;59.330000;1
293;7046;60.684000;1
294;12499;57.862000;1
295;9200;58.174000;1
296;13901;56.497000;1
297;10814;59.686000;1
298;13706;59.015000;1
299;13017;57.224000;1
300;10116;57.869000;1
301;4186;56.895000;1
302;3104;54.880000;1
303;3668;57.273000;1
304;4028;55.372000;1
305;8519;54.102000;1
306;622;55.680000;1
307;5104;53.880000;1
308;1279;56.814000;1
309;4923;59.147000;1
310;2553;57.195000;1
311;4380;59.491000;1
312;4461;55.338000;1
313;10129;52.312000;1
314;4461;56.381000;1
315;4650;56.403000;1
316;2863;55.905000;1
317;5453;56.215000;1
318;4923;54.207000;1
319;2738;53.031000;1
320;7416;59.032000;1
321;4544;59.800000;1
322;4660;55.533000;1
323;4713;54.757000;1
324;7209;59.751000;1
325;2858;59.958000;1
326;8020;57.053000;1
327;4689;61.266000;1
328;3923;59.114000;1
329;6390;59.410000;1
330;4674;51.812000;1
331;2623;55.410000;1
332;9062;55.949000;1
333;6981;55.891000;1
334;10779;53.443000;1
335;6840;57.074000;1
336;10535;53.331000;1
337;7660;59.706000;1
338;13360;54.177000;1
339;5037;54.646000;1
340;9820;51.850000;1
341;9226;56.956000;1
342;8039;56.886000;1
343;8266;50.792000;1
344;14842;59.121000;1
345;11194;56.323000;1
346;7836;58.145000;1
347;3639;56.541000;1
348;10302;56.661000;1
349;14571;59.426000;1
350;8088;61.063000;1
351;16131;59.406000;1
352;9636;58.159000;1
353;16708;57.064000;1
354;12247;55.875000;1
355;15999;57.174000;1
356;9580;59.993000;1
357;17449;58.399000;1
358;8709;57.784000;1
359;12013;56.052000;1
360;11073;56.787000;1
361;1874;59.765000;1
362;464;60.276000;1
363;273;66.543000;1
364;3117;70.430000;1
365;645;68.244000;1
366;691;66.010000;1
367;2160;70.006000;1
368;1361;64.185000;1
369;1744;71.536000;1
370;1777;69.354000;1
371;3218;69.988000;1
372;1223;64.654000;1
373;796;71.008000;1
374;1821;66.746000;1
375;1275;72.286000;1
376;512;64.351000;1
377;1279;66.201000;1
378;1503;63.623000;1
379;1463;66.331000;1
380;1316;66.166000;1
381;2326;69.151000;1
382;1845;67.442000;1
383;2961;69.624000;1
384;1063;71.768000;1
385;1033;72.760000;1
386;1210;61.787000;1
387;2176;74.694000;1
388;3626;68.123000;1
389;4190;67.415000;1
390;2078;70.870000;1
391;7355;76.039000;1
392;7035;63.028000;1
393;5628;64.961000;1
394;1583;69.954000;1
395;3386;67.798000;1
396;4610;69.051000;1
397;9978;65.864000;1
398;2663;78.942000;1
399;6641;79.577000;1
400;6051;71.542000;1
401;7837;67.702000;1
402;6374;71.210000;1
403;6377;75.274000;1
404;8368;68.459000;1
405;6239;70.164000;1
406;3824;63.748000;1
407;9531;60.529000;1
408;7641;62.117000;1
409;8104;62.178000;1
410;9224;62.114000;1
411;11162;60.595000;1
412;12718;61.486000;1
413;9453;57.668000;1
414;15767;60.652000;1
415;11569;61.113000;1
416;13398;62.155000;1
417;9830;62.043000;1
418;11103;61.429000;1
419;10012;62.661000;1
420;11346;61.008000;1
421;3751;58.452000;1
422;2599;61.594000;1
423;2016;62.613000;1
424;2589;62.583000;1
425;4548;63.107000;1
426;6184;62.382000;1
427;4102;58.792000;1
428;1596;59.142000;1
429;3361;68.650000;1
430;2237;66.084000;1
431;4900;71.904000;1
432;4081;64.919000;1
433;2180;60.381000;1
434;4683;59.847000;1
435;2150;59.223000;1
436;2084;61.902000;1
437;16;58.874000;1
438;4245;61.186000;1
439;1969;65.425000;1
