instance,alpha,solution,time,gap,lb,nodes,ub
20083,0.2,397.451282,0.114676,0.0,397.451282,39,397.451282
20084,0.2,139.599803,0.567227,0.0,139.599803,1243,139.599803
20085,0.2,2.012384,0.228133,0.0,2.012384,266,2.012384
20086,0.2,116.397667,0.269304,0.0,116.397667,361,116.397667
20087,0.2,20.527872,0.060097,0.0,20.527872,0,20.527872
20088,0.2,429.843215,0.244255,0.0,429.843215,447,429.843215
20089,0.2,188.851304,0.083308,0.0,188.851304,20,188.851304
20090,0.2,39.840124,0.086269,0.0,39.840124,4,39.840124
20091,0.2,308.5266,0.098491,0.0,308.5266,71,308.5266
20092,0.2,391.018534,0.075697,0.0,391.018534,14,391.018534
20093,0.2,502.289756,0.631983,0.0,502.289756,1339,502.289756
20094,0.2,146.686115,0.098854,0.0,146.686115,69,146.686115
20095,0.2,347.125581,0.161941,0.0,347.125581,207,347.125581
20096,0.2,208.399419,0.093482,0.0,208.399419,38,208.399419
20097,0.2,97.040889,0.025686,0.0,97.040889,0,97.040889
20098,0.2,0.0,0.036093,0.0,0.0,0,0.0
20099,0.2,248.685143,0.261169,0.0,248.685143,640,248.685143
20100,0.2,94.486984,0.015013,0.0,94.486984,0,94.486984
20101,0.2,0.0,0.102752,0.0,0.0,18,0.0
20102,0.2,278.0,0.031223,0.0,278.0,0,278.0
20103,0.2,419.355193,0.142671,0.0,419.355193,187,419.355193
20104,0.2,413.271689,0.410868,0.0,413.271689,1010,413.271689
20105,0.2,594.055602,0.522309,0.0,594.055602,1003,594.055602
20106,0.2,407.062519,0.179496,0.0,407.062519,329,407.062519
20107,0.2,545.063156,0.359392,0.0,545.063156,435,545.063156
20108,0.2,322.422332,0.140228,0.0,322.422332,56,322.422332
20109,0.2,1.932169,0.13045,0.0,1.932169,182,1.932169
20110,0.2,77.0,0.125677,0.0,77.0,0,77.0
20111,0.2,84.492128,0.126532,0.0,84.492128,70,84.492128
20112,0.2,198.486984,0.028926,0.0,198.486984,0,198.486984
20113,0.2,102.52973,0.047447,0.0,102.52973,0,102.52973
20114,0.2,135.080753,0.115575,0.0,135.080753,140,135.080753
20115,0.2,236.720502,0.145674,0.0,236.720502,118,236.720502
20116,0.2,283.157292,0.179376,0.0,283.157292,89,283.157292
20117,0.2,348.144878,0.325903,0.0,348.144878,613,348.144878
20118,0.2,228.239583,0.160292,0.0,228.239583,189,228.239583
20119,0.2,620.075729,0.501271,0.0,620.075729,1178,620.075729
20120,0.2,140.260187,0.099661,0.0,140.260187,72,140.260187
20121,0.2,142.590973,0.147121,0.0,142.590973,142,142.590973
20122,0.2,135.795416,0.192432,0.0,135.795416,384,135.795416
20123,0.2,126.873659,0.174624,0.0,126.873659,81,126.873659
20124,0.2,150.464344,0.182578,0.0,150.464344,141,150.464344
20125,0.2,51.0,0.044489,0.0,51.0,10,51.0
20126,0.2,192.614768,0.230101,0.0,192.614768,321,192.614768
20127,0.2,286.838533,0.461189,0.0,286.838533,1092,286.838533
20128,0.2,561.682039,0.257436,0.0,561.682039,471,561.682039
20129,0.2,542.114429,0.213647,0.0,542.114429,212,542.114429
20130,0.2,7.227213,0.143457,0.0,7.227213,164,7.227213
20131,0.2,441.072023,0.307551,0.0,441.072023,719,441.072023
20132,0.2,250.609649,0.072801,0.0,250.609649,0,250.609649
20133,0.2,0.0,0.265578,0.0,0.0,690,0.0
20134,0.2,120.285747,0.082603,0.0,120.285747,39,120.285747
20135,0.2,99.717459,0.08006,0.0,99.717459,28,99.717459
20136,0.2,444.484955,0.178266,0.0,444.484955,214,444.484955
20137,0.2,171.0,0.019109,0.0,171.0,0,171.0
20138,0.2,351.894607,0.371662,0.0,351.894607,930,351.894607
20139,0.2,372.470093,0.31836,0.0,372.470093,680,372.470093
20140,0.2,261.697799,0.222708,0.0,261.697799,371,261.697799
20141,0.2,274.67657,0.147894,0.0,274.67657,0,274.67657
20142,0.2,567.908794,0.116181,0.0,567.908794,100,567.908794
20143,0.2,65.126422,0.323611,0.0,65.126422,926,65.126422
