jobs,instance_count,time,instance_sol_d0,instance_min_0,gap_0_mean,time_d0,instance_sol_d1,instance_min_1,gap_1_mean,time_d1
4,144,0.11,15,22,3.41,0.00,22,40,0.97,0.01
6,144,40.40,6,7,5.84,0.00,8,28,2.06,0.04
8,85,1882.30,6,36,4.03,0.01,6,49,2.00,0.22
10,21,3192.99,6,114,4.51,0.07,6,120,3.95,0.37
