instance,alpha,jobs,stages,solution_d0,solution_d0,last_improvment_time_d0,solution_d0,solution_d1,solution_d1,last_improvment_time_d1,solution_d1,MIN,gap_d0,gap_d1
,,,,mean,min,mean,cv,mean,min,mean,cv,,,
1881,0.2,30,10,18479.401139999998,18442.4957,8.15438,0.11898683703933545,18159.27288,18150.7454,12.49998,0.05909050202807603,18150.7454,1.6073736564009085,0.0
1891,0.2,30,10,33632.17682,33603.0421,9.62908,0.06181166242825869,32965.709240000004,32948.7804,14.56868,0.05595719848105934,32948.7804,1.9856932246268981,0.0
1901,0.2,30,10,3129.6314599999996,3087.9545,11.69736,0.8298786783522283,2717.57532,2710.5085,14.92276,0.32289921370922814,2710.5085,13.925283761331128,0.0
1911,0.2,30,10,10460.62714,10459.4308,12.48844,0.018295180496126988,9861.2807,9856.5483,14.820059999999998,0.0860072085146501,9856.5483,6.116568210800526,0.0
1921,0.2,30,10,17951.803659999998,17930.1476,13.338999999999999,0.16757921221378855,17133.06732,17083.9407,11.92526,0.21290375016113722,17083.9407,4.953230140865574,0.0
1931,0.2,30,10,25755.66432,25746.4753,9.51288,0.028517972144640885,25277.0141,25234.9679,12.46132,0.10349269080113531,25234.9679,2.0269786037651296,0.0
1941,0.2,30,10,30550.00524,30485.4272,9.48518,0.11906366562328996,29994.104700000004,29976.4673,11.07128,0.05099909196537554,29976.4673,1.6978648448011018,0.0
1951,0.2,30,10,36031.66842,36004.003,10.53974,0.05057785513934084,35940.26558,35914.0411,12.53078,0.07563165406965355,35914.0411,0.2504922789098072,0.0
1961,0.2,30,30,8422.50166,8373.3921,20.10902,0.39200059784337843,5546.14674,5492.8499,35.3036,0.5797072730117482,5492.8499,52.44166966950979,0.0
1971,0.2,30,30,2382.57588,2330.2922,32.53018,1.7463888710239641,1024.40966,996.4849,34.53238,3.445249800587146,996.4849,133.85123046019058,0.0
1981,0.2,30,30,17043.94136,16890.5249,16.59932,0.7477289661461153,13460.28584,13359.9302,31.605780000000003,0.68796539709352,13359.9302,26.426745103803007,0.0
1991,0.2,30,30,28450.30556,28422.6242,23.31336,0.05920099037356953,27400.03088,27394.2508,28.18712,0.024789310154680826,27394.2508,3.7539752684165273,0.0
2001,0.2,30,30,48675.47674,48668.9266,19.7685,0.011499512523353964,46730.3723,46682.9305,30.346339999999998,0.08767879622165363,46682.9305,4.254223286175225,0.0
2011,0.2,30,30,67531.47446,67369.5176,28.925440000000002,0.14536371549374347,63789.334279999995,63751.3702,28.69834,0.06323150860839359,63751.3702,5.675403349997345,0.0
2021,0.2,30,30,21827.02412,21790.8274,16.905179999999998,0.12013642335236091,20893.690479999997,20860.2359,28.535860000000003,0.16424216287341267,20860.2359,4.461078505828396,0.0
2031,0.2,30,30,29621.065120000003,29581.5251,27.95292,0.15204400577671046,24220.9277,24216.9783,20.15576,0.015026615126775956,24216.9783,22.152007296467705,0.0
2041,0.2,30,30,33782.611,33389.1362,14.42096,0.6552407598182242,29699.200919999996,29588.0222,29.219780000000004,0.25606407259426583,29588.0222,12.846799878364298,0.0
2051,0.2,30,30,41790.2201,41757.0488,23.476499999999998,0.06343373814563429,40669.35686,40648.5874,26.33834,0.033672224113486623,40648.5874,2.726937074324999,0.0
2061,0.2,30,30,90849.68246000001,90815.776,21.26474,0.02812996351845321,89271.24081999999,89237.424,32.143299999999996,0.024465182456987183,89237.424,1.7687108493853418,0.0
2071,0.2,30,30,80372.83058,80335.4155,34.039120000000004,0.06680655187568092,73585.51574,73506.8599,27.09408,0.0645119080661334,73506.8599,9.2896848121246,0.0
2081,0.2,30,30,15380.759419999998,15252.6714,23.92558,0.6761537054284851,10057.12268,10014.8528,32.14648,0.6467303918459593,10014.8528,52.30050510577647,0.0
2091,0.2,30,30,19062.56182,19023.7637,24.500220000000002,0.13646071293579445,14279.68038,14269.0176,27.62846,0.044685465779818884,14269.0176,33.322168584331976,0.0
